Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality_Cluster,Q4_Monthly_Income,Q5_Favorite_Sport,Q6_Favorite_Team,Q7_Fan_Type,Q8_Own_Jerseys,Q9_Jerseys_Owned,Q10_Jersey_Type_Interest,Q11_Authentication_Importance,Q12_Preferred_Condition,Q13_Player_Popularity_Importance,Q14_Rarity_Importance,Q15_Vintage_Interest,Q16_Willingness_to_Spend,Q17_Purchase_Frequency,Q18_Discount_Influence,Q19_Recommendation_Influence,Q20_Wishlist_Behavior,Q21_Would_Use_Platform,Q22_Trust_Factors,Q23_Would_Resell,Q24_Loyalty_Interest,Q25_Feature_Ranking
13,45-54,Male,Arab,"3,000-10,000",Basketball,Golden State Warriors,Investment buyer,Yes,4-10,Regular replica,3,Mint (perfect),4,4,"Yes, very interested","501-1,500",2-4 times a year,Somewhat influences,Maybe,No,Probably yes,Blockchain verification; AI-powered authenticity checks; Seller ratings and reviews; Money-back guarantee,Yes,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
14,25-34,Male,Western Expat,,Other,Roger Federer Fan,Casual viewer,Yes,1-3,Signed by player,2,Good (minor wear),2,5,Not interested,50-200,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Probably yes,Seller ratings and reviews; Third-party authentication certificates; Blockchain verification,No,Not really,AI-based recommendations > Rarity scoring system > Dynamic pricing transparency > Authentication verification
15,25-34,Male,South Asian,"3,000-10,000",Football,Manchester United,Passionate fan,Yes,1-3,Vintage,3,Good (minor wear),4,4,Somewhat interested,"501-1,500",2-4 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Not sure,AI-powered authenticity checks; Blockchain verification; Third-party authentication certificates,Maybe,Somewhat,Rarity scoring system > Authentication verification > AI-based recommendations > Dynamic pricing transparency
16,18-24,Male,South Asian,"20,001-35,000",Football,Juventus,Hardcore collector,Yes,26+,Vintage,4,Mint (perfect),3,4,"Yes, very interested","501-1,500",2-4 times a year,Somewhat influences,"Yes, definitely","Yes, frequently",Definitely no,AI-powered authenticity checks; Third-party authentication certificates; Money-back guarantee; Blockchain verification; Seller ratings and reviews,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
17,25-34,Male,East Asian,"3,000-10,000",Basketball,Miami Heat,Passionate fan,Yes,1-3,Game-Worn,4,Good (minor wear),3,3,Not interested,"501-1,500",2-4 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Blockchain verification; Money-back guarantee; AI-powered authenticity checks,Maybe,Somewhat,Rarity scoring system > AI-based recommendations > Authentication verification > Dynamic pricing transparency
18,25-34,Male,Arab,"Below 3,000",Cricket,CSK,Hardcore collector,Yes,26+,Game-Worn,3,"Used (visible wear, but authentic)",4,4,Somewhat interested,201-500,More than 10 times a year,Somewhat influences,"Yes, definitely",No,Probably no,Blockchain verification; Money-back guarantee; Third-party authentication certificates; AI-powered authenticity checks,Maybe,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
19,25-34,Male,East Asian,"10,001-20,000",Other,Roger Federer Fan,Passionate fan,No,,Signed by player,2,Condition doesn't matter if rare,2,3,"Yes, very interested",,Once a year or less,Strongly influences,"Yes, definitely","Yes, frequently",Probably no,Third-party authentication certificates,Maybe,Somewhat,Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
20,18-24,Prefer not to say,Arab,"3,000-10,000",Football,AC Milan,Passionate fan,Yes,4-10,Signed by player,3,Good (minor wear),3,2,Not interested,"1,501-3,000",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Not sure,Blockchain verification,Maybe,Not really,Authentication verification > AI-based recommendations > Rarity scoring system > Dynamic pricing transparency
21,25-34,Male,Western Expat,"3,000-10,000",Other,None Specific,Investment buyer,Yes,26+,Signed by player,3,Mint (perfect),3,4,Not interested,"501-1,500",5-10 times a year,Strongly influences,Maybe,"Yes, occasionally",Probably yes,Third-party authentication certificates; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
22,25-34,Prefer not to say,East Asian,"3,000-10,000",Basketball,Miami Heat,Investment buyer,Yes,26+,Limited Edition,4,Mint (perfect),3,4,"Yes, very interested",201-500,2-4 times a year,Somewhat influences,Maybe,No,Definitely yes,Third-party authentication certificates; AI-powered authenticity checks,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
23,18-24,Male,South Asian,"10,001-20,000",Football,AC Milan,Casual viewer,Yes,1-3,Limited Edition,4,"Used (visible wear, but authentic)",3,3,Not interested,,5-10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, frequently",Probably yes,Money-back guarantee; Blockchain verification; Third-party authentication certificates,No,Not really,AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
24,25-34,Male,Western Expat,,Football,Bayern Munich,Passionate fan,Yes,1-3,Limited Edition,3,Mint (perfect),4,4,Not interested,50-200,5-10 times a year,Strongly influences,Maybe,"Yes, occasionally",Not sure,Money-back guarantee; Blockchain verification,Maybe,"Yes, strongly",Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
25,18-24,Male,asian,"3,000-10,000",Football,AC Milan,Casual viewer,No,,Regular replica,1,Condition doesn't matter if rare,3,1,Somewhat interested,50-200,2-4 times a year,Strongly influences,Maybe,No,Definitely no,Money-back guarantee; Blockchain verification; AI-powered authenticity checks,Maybe,Somewhat,AI-based recommendations > Rarity scoring system > Authentication verification > Dynamic pricing transparency
26,18-24,Female,African,"20,001-35,000",Other,New Zealand All Blacks,Passionate fan,No,,Game-Worn,3,Mint (perfect),2,3,Somewhat interested,"3,000+",2-4 times a year,Somewhat influences,"Yes, definitely",No,Not sure,Blockchain verification; Third-party authentication certificates; AI-powered authenticity checks,Maybe,Not really,Dynamic pricing transparency > Rarity scoring system > AI-based recommendations > Authentication verification
27,25-34,Female,Western Expat,"10,001-20,000",Basketball,LA Lakers,Casual viewer,Yes,1-3,Limited Edition,3,Good (minor wear),1,1,Somewhat interested,50-200,2-4 times a year,Somewhat influences,"Yes, definitely",No,Probably yes,AI-powered authenticity checks; Third-party authentication certificates,Maybe,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
28,45-54,Male,Western Expat,"3,000-10,000",Baseball,LA Dodgers,Passionate fan,Yes,1-3,Regular replica,4,Good (minor wear),3,4,"Yes, very interested","501-1,500",5-10 times a year,No impact,Maybe,"Yes, occasionally",Probably yes,Blockchain verification; Money-back guarantee,Yes,Somewhat,AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
29,18-24,Male,Western Expat,"10,001-20,000",Football,Real Madrid,Casual viewer,Yes,1-3,Regular replica,1,"Used (visible wear, but authentic)",3,2,Not interested,Under 50,2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Definitely yes,Blockchain verification; Seller ratings and reviews; Third-party authentication certificates,No,Somewhat,Dynamic pricing transparency > Authentication verification > AI-based recommendations > Rarity scoring system
30,55-65,Male,Arab,"10,001-20,000",Cricket,India National,Investment buyer,Yes,26+,Signed by player,5,Mint (perfect),5,4,"Yes, very interested",50-200,2-4 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Seller ratings and reviews; AI-powered authenticity checks; Money-back guarantee,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
31,35-44,Male,Arab,"Below 3,000",Other,None Specific,Investment buyer,Yes,4-10,Signed by player,4,Condition doesn't matter if rare,4,4,"Yes, very interested",50-200,2-4 times a year,No impact,Maybe,"Yes, frequently",Definitely yes,Blockchain verification; Money-back guarantee; Seller ratings and reviews; Third-party authentication certificates,Yes,Not really,
32,18-24,Male,Arab,"3,000-10,000",Football,Real Madrid,Passionate fan,No,,Signed by player,4,Condition doesn't matter if rare,4,2,Somewhat interested,"501-1,500",2-4 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Not sure,Money-back guarantee,Maybe,Somewhat,Rarity scoring system > AI-based recommendations > Authentication verification > Dynamic pricing transparency
33,35-44,Male,Arab,"20,001-35,000",Football,Barcelona,Hardcore collector,Yes,4-10,Limited Edition,4,Good (minor wear),3,4,"Yes, very interested",201-500,2-4 times a year,No impact,Maybe,"Yes, occasionally",Probably yes,AI-powered authenticity checks; Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,No,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
34,25-34,Male,South Asian,"10,001-20,000",Football,Arsenal,Casual viewer,No,,Regular replica,1,Good (minor wear),3,3,Somewhat interested,"501-1,500",Once a year or less,Somewhat influences,"Yes, definitely",No,Not sure,Third-party authentication certificates; AI-powered authenticity checks; Blockchain verification,Maybe,Somewhat,AI-based recommendations > Rarity scoring system > Authentication verification > Dynamic pricing transparency
35,25-34,Female,Arab,"20,001-35,000",Baseball,NY Yankees,Casual viewer,No,,Regular replica,2,"Used (visible wear, but authentic)",3,2,Not interested,Under 50,Once a year or less,Strongly influences,"Yes, definitely","Yes, occasionally",Probably no,Seller ratings and reviews; Blockchain verification,No,Somewhat,AI-based recommendations > Authentication verification > Dynamic pricing transparency > Rarity scoring system
36,35-44,Male,South Asian,"35,001-50,000",Cricket,CSK,Passionate fan,No,,Game-Worn,3,Good (minor wear),2,3,Not interested,50-200,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Probably yes,Third-party authentication certificates; Seller ratings and reviews; Blockchain verification; AI-powered authenticity checks,No,"Yes, strongly",Rarity scoring system > AI-based recommendations > Authentication verification > Dynamic pricing transparency
37,25-34,Male,South Asian,"10,001-20,000",Football,Barcelona,Hardcore collector,Yes,26+,Game-Worn,3,Mint (perfect),3,4,Not interested,"501-1,500",5-10 times a year,Strongly influences,"Yes, definitely","Yes, frequently",Probably yes,Third-party authentication certificates; Seller ratings and reviews; AI-powered authenticity checks,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
38,25-34,Male,Western Expat,"3,000-10,000",Baseball,Chicago Cubs,Passionate fan,No,,Limited Edition,3,Good (minor wear),4,2,Not interested,201-500,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, frequently",Not sure,Third-party authentication certificates; Money-back guarantee,Maybe,Somewhat,AI-based recommendations > Authentication verification > Rarity scoring system > Dynamic pricing transparency
39,18-24,Male,South Asian,"10,001-20,000",Cricket,Mumbai Indians,Casual viewer,No,,Regular replica,4,Good (minor wear),3,1,Somewhat interested,Under 50,Once a year or less,Strongly influences,"No, I prefer browsing on my own",No,Probably no,Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,No,"Yes, strongly",Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
40,25-34,Male,Western Expat,"Above 50,000",Basketball,Brooklyn Nets,Passionate fan,Yes,11-25,Limited Edition,3,Condition doesn't matter if rare,5,3,"Yes, very interested",50-200,2-4 times a year,No impact,Maybe,"Yes, occasionally",Not sure,AI-powered authenticity checks; Seller ratings and reviews; Third-party authentication certificates,Maybe,"Yes, strongly",Dynamic pricing transparency > Authentication verification > Rarity scoring system > AI-based recommendations
41,18-24,Male,Arab,"20,001-35,000",Football,Al Ahly,Passionate fan,No,,Limited Edition,4,Mint (perfect),3,3,Somewhat interested,Under 50,Once a year or less,No impact,"Yes, definitely","Yes, occasionally",Definitely no,Blockchain verification; Third-party authentication certificates; AI-powered authenticity checks,Maybe,"Yes, strongly",Dynamic pricing transparency > AI-based recommendations > Rarity scoring system > Authentication verification
42,55-65,Male,Arab,"20,001-35,000",Football,Bayern Munich,Investment buyer,Yes,4-10,Game-Worn,5,Mint (perfect),2,4,Somewhat interested,201-500,5-10 times a year,No impact,Maybe,"Yes, frequently",Not sure,Seller ratings and reviews; Third-party authentication certificates; Blockchain verification; Money-back guarantee,Maybe,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
43,35-44,Female,South Asian,"20,001-35,000",Cricket,Mumbai Indians,Hardcore collector,Yes,26+,Game-Worn,5,Mint (perfect),4,4,"Yes, very interested",50-200,5-10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Probably yes,Money-back guarantee; AI-powered authenticity checks; Blockchain verification,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
44,18-24,Male,South Asian,"3,000-10,000",Football,Barcelona,Passionate fan,Yes,4-10,Limited Edition,3,Good (minor wear),5,3,Somewhat interested,"501-1,500",2-4 times a year,Strongly influences,Maybe,No,Probably no,Money-back guarantee; Seller ratings and reviews; Blockchain verification,Yes,Not really,Rarity scoring system > Dynamic pricing transparency > Authentication verification > AI-based recommendations
45,25-34,Male,East Asian,"Below 3,000",Football,Arsenal,Passionate fan,Yes,11-25,Signed by player,2,Mint (perfect),2,5,Somewhat interested,"501-1,500",Once a year or less,No impact,Maybe,"Yes, frequently",Probably yes,Third-party authentication certificates; Blockchain verification,Maybe,Somewhat,Rarity scoring system > Authentication verification > AI-based recommendations > Dynamic pricing transparency
46,18-24,Male,Other,"Below 3,000",Football,AC Milan,Passionate fan,No,,Regular replica,4,Good (minor wear),5,4,Somewhat interested,"501-1,500",2-4 times a year,Strongly influences,Maybe,"Yes, frequently",Definitely no,Money-back guarantee; Third-party authentication certificates,Maybe,Somewhat,Rarity scoring system > AI-based recommendations > Dynamic pricing transparency > Authentication verification
47,18-24,Female,South Asian,"10,001-20,000",Football,Barcelona,Passionate fan,Yes,1-3,Regular replica,5,Good (minor wear),2,3,Not interested,Under 50,2-4 times a year,Strongly influences,"No, I prefer browsing on my own",No,Probably no,Money-back guarantee; AI-powered authenticity checks; Seller ratings and reviews; Blockchain verification,Maybe,Somewhat,Authentication verification > Dynamic pricing transparency > Rarity scoring system > AI-based recommendations
48,45-54,Male,Western Expat,"Above 50,000",Basketball,LA Lakers,Hardcore collector,Yes,11-25,Signed by player,4,Condition doesn't matter if rare,3,4,Somewhat interested,201-500,5-10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Blockchain verification; Money-back guarantee; AI-powered authenticity checks,Maybe,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
49,35-44,Female,Other,"20,001-35,000",Baseball,Chicago Cubs,Hardcore collector,Yes,11-25,Game-Worn,2,Good (minor wear),5,3,Not interested,"501-1,500",5-10 times a year,No impact,Maybe,No,Definitely yes,Seller ratings and reviews; AI-powered authenticity checks; Third-party authentication certificates,Maybe,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
50,18-24,Female,South Asian,"3,000-10,000",Cricket,India National,Casual viewer,No,,Limited Edition,1,Mint (perfect),4,1,Not interested,201-500,5-10 times a year,Strongly influences,"No, I prefer browsing on my own",No,Not sure,Blockchain verification,No,"Yes, strongly",AI-based recommendations > Rarity scoring system > Dynamic pricing transparency > Authentication verification
51,,Prefer not to say,Other,"3,000-10,000",Football,Juventus,Casual viewer,No,,Signed by player,1,Mint (perfect),4,2,Somewhat interested,Under 50,2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Definitely yes,Blockchain verification,Maybe,Somewhat,AI-based recommendations > Rarity scoring system > Authentication verification > Dynamic pricing transparency
52,18-24,Male,Western Expat,"20,001-35,000",Baseball,LA Dodgers,Casual viewer,No,,Limited Edition,4,Mint (perfect),3,2,Not interested,"501-1,500",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Probably yes,Seller ratings and reviews; Money-back guarantee; Third-party authentication certificates,Maybe,Somewhat,Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
53,18-24,Male,East Asian,"35,001-50,000",Baseball,NY Yankees,Passionate fan,Yes,4-10,Game-Worn,5,Mint (perfect),3,3,Not interested,201-500,Once a year or less,Somewhat influences,Maybe,"Yes, occasionally",Probably yes,Money-back guarantee; Third-party authentication certificates,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
54,35-44,Male,Other,"20,001-35,000",Other,None Specific,Investment buyer,Yes,11-25,Game-Worn,3,Condition doesn't matter if rare,3,3,Somewhat interested,"1,501-3,000",2-4 times a year,Strongly influences,"No, I prefer browsing on my own",No,Definitely yes,Blockchain verification; Money-back guarantee,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
55,35-44,Male,East Asian,"Below 3,000",Football,Manchester United,Casual viewer,No,,Regular replica,3,Mint (perfect),3,1,Not interested,Under 50,Once a year or less,Strongly influences,Maybe,"Yes, occasionally",Definitely no,Blockchain verification; Third-party authentication certificates; Money-back guarantee,No,Not really,Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
56,18-24,Female,South Asian,"3,000-10,000",Cricket,India National,Casual viewer,No,,Regular replica,3,Mint (perfect),4,3,Not interested,"501-1,500",Once a year or less,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Definitely no,Seller ratings and reviews; Third-party authentication certificates,Maybe,Somewhat,AI-based recommendations > Rarity scoring system > Authentication verification > Dynamic pricing transparency
57,35-44,Female,South Asian,"10,001-20,000",Basketball,Brooklyn Nets,Hardcore collector,Yes,26+,Limited Edition,4,Mint (perfect),2,5,Somewhat interested,"1,501-3,000",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Definitely yes,AI-powered authenticity checks; Blockchain verification; Seller ratings and reviews; Third-party authentication certificates,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
58,25-34,Female,East Asian,"3,000-10,000",Basketball,Golden State Warriors,Passionate fan,Yes,4-10,Signed by player,4,Mint (perfect),3,2,Somewhat interested,201-500,More than 10 times a year,No impact,"Yes, definitely","Yes, occasionally",Not sure,Money-back guarantee,No,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
59,25-34,Female,Arab,"10,001-20,000",Football,Real Madrid,Passionate fan,Yes,4-10,Limited Edition,5,Condition doesn't matter if rare,3,2,Not interested,"1,501-3,000",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Probably yes,Money-back guarantee; Seller ratings and reviews,No,"Yes, strongly",Rarity scoring system > Authentication verification > Dynamic pricing transparency > AI-based recommendations
60,35-44,Male,African,"10,001-20,000",Football,Juventus,Investment buyer,Yes,11-25,Game-Worn,4,Mint (perfect),3,5,Somewhat interested,Under 50,More than 10 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,AI-powered authenticity checks; Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
61,25-34,Male,Western Expat,"20,001-35,000",Basketball,Chicago Bulls,Hardcore collector,Yes,26+,Limited Edition,5,Condition doesn't matter if rare,2,4,"Yes, very interested","501-1,500",5-10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Definitely yes,Blockchain verification; Money-back guarantee; AI-powered authenticity checks; Third-party authentication certificates,No,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
62,25-34,Female,South Asian,"3,000-10,000",Football,Al Ahly,Hardcore collector,Yes,26+,Game-Worn,4,"Used (visible wear, but authentic)",3,4,"Yes, very interested","1,501-3,000",More than 10 times a year,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
63,18-24,Male,African,"10,001-20,000",Football,Arsenal,Passionate fan,Yes,1-3,Limited Edition,4,Mint (perfect),2,3,Somewhat interested,201-500,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Not sure,Third-party authentication certificates; AI-powered authenticity checks; Seller ratings and reviews; Blockchain verification,Yes,Somewhat,Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
64,35-44,Male,South Asian,"3,000-10,000",Other,None Specific,Investment buyer,Yes,11-25,Game-Worn,3,Mint (perfect),3,4,Somewhat interested,50-200,2-4 times a year,No impact,"No, I prefer browsing on my own",No,Definitely yes,Money-back guarantee; AI-powered authenticity checks; Third-party authentication certificates; Seller ratings and reviews; Blockchain verification,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
65,35-44,Male,Arab,"20,001-35,000",Football,Barcelona,Investment buyer,No,,Signed by player,4,Mint (perfect),3,4,Not interested,"1,501-3,000",2-4 times a year,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Seller ratings and reviews; AI-powered authenticity checks; Third-party authentication certificates; Blockchain verification; Money-back guarantee,Maybe,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
66,25-34,Male,African,"3,000-10,000",Football,Liverpool,Investment buyer,No,,Vintage,4,Mint (perfect),5,4,Somewhat interested,Under 50,2-4 times a year,No impact,"Yes, definitely",No,Definitely yes,Money-back guarantee; Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
67,45-54,Male,South Asian,"Below 3,000",Cricket,Australia National,Casual viewer,No,,Regular replica,2,"Used (visible wear, but authentic)",4,1,Somewhat interested,Under 50,Once a year or less,Strongly influences,"Yes, definitely","Yes, occasionally",Probably no,Money-back guarantee,No,Somewhat,Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
68,35-44,Male,Arab,"3,000-10,000",Football,PSG,Hardcore collector,Yes,11-25,Limited Edition,3,Mint (perfect),3,4,"Yes, very interested",50-200,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Probably yes,Third-party authentication certificates; Blockchain verification; AI-powered authenticity checks,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
